name,organization,homepage,logo,twitter,crunchbase_url,funding,member,relation,tag,license,headquarters,description,crunchbase_description,crunchbase_homepage,crunchbase_city,crunchbase_region,crunchbase_country,crunchbase_twitter,crunchbase_linkedin,crunchbase_ticker,crunchbase_kind,crunchbase_min_employees,crunchbase_max_employees,category,subcategory,oss,github_repo,github_stars,github_description,github_latest_commit_date,github_latest_commit_link,github_latest_release_date,github_latest_release_link,github_start_commit_date,github_start_commit_link,github_contributors_count,github_contributors_link,accepted,incubation,graduated,dev_stats_url,artwork_url,blog_url,mailing_list_url,slack_url,youtube_url,chat_channel,last_audit_date,last_audit_url
Anti-Tech Résistance,,https://www.antitechresistance.org/,logos/656d2f42ce102bf905906019dbcde3c38dbe158fa74750e05c5b09201211518f.webp,,,,,,,,,Anti-Tech Resistance (ATR) est un mouvement révolutionnaire international qui a pour objectif de démanteler le système technologique pour stopper la dévastation du monde et empêcher l’extinction de l’espèce humaine.,,,,,,,,,,,,Collectifs,Groupes politiques,,,,,,,,,,,,,,,,,,,,,,,,
Bassines Non Merci,,https://www.bassinesnonmerci.fr/,logos/426d403959d713ba388d290531f9bc03a32cec71034e1fc33c611321c463099e.jpg,,,,,,,,,,,,,,,,,,,,,Collectifs,Associations,,,,,,,,,,,,,,,,,,,,,,,,
Carte des luttes locales en France,,https://lutteslocales.gogocarto.fr/,logos/d55f558890baed17c163af402ceaf3453384f5256513ae8235d71a9004fab94c.png,,,,,,,,,,,,,,,,,,,,,Médias,Sites web,,,,,,,,,,,,,,,,,,,,,,,,
Ecologie sans transition,,https://www.editionsdivergences.com/livre/ecologie-sans-transition,logos/b9ca6c0b43c1e87278ff84a1cfe8812ae43ac4c341d60267cefc2f763c5ebece.jpg,,,,,,,,,"Devant l’ampleur planétaire du désastre, un nouveau mouvement écologiste a émergé au fil des marches pour le climat, des grèves de la jeunesse et des actions de désobéissance. 
Mais sa stratégie se réduit encore à adresser une demande de transition à de supposés décideurs.
",,,,,,,,,,,,Médias,Livres,,,,,,,,,,,,,,,,,,,,,,,,
France Nature Environnement,,https://fne.asso.fr/associations-adherentes,logos/66d792118a0c413e1ab892eba491723fafda0946e0f4aa97d4afb11a7c6f360a.svg,,,,,,,,,"Fondée en 1968, France Nature Environnement se bat pour la protection de la nature et de l'environnement. Reconnue d'utilité publique en 1976, France Nature Environnement est présumée satisfaire aux obligations du contrat d'engagement républicain. Une équipe fédérale, composée de près de 180 bénévoles et 45 salarié·es, s'y investit au quotidien.",,,,,,,,,,,,Collectifs,Associations,,,,,,,,,,,,,,,,,,,,,,,,
Hameaux Légers,,https://hameaux-legers.org/,logos/de7dda7f3923d3e8831b532eb4fcc917aaf341eb5914ee2d464b5f2d1f362b08.png,,,,,,,,,"Accompagner la création d'écohameaux accessibles financièrement, pour permettre à toutes et tous d'habiter de manière durable et solidaire.",,,,,,,,,,,,Collectifs,Associations,,,,,,,,,,,,,,,,,,,,,,,,
La Tête dans le sable,,https://latetedanslesable.fr/,logos/c5a181275336cf739c04ba7dde5f4898b040650afd266bba4e9ab162f4f7392c.jpeg,,,,,,,,,"Des habitants de Saint Colomban et de la Communauté de Communes de Grand-Lieu (dans le sud de la loire atlantique), sensibles aux sujets liés à la protection de nos territoires, de notre environnement et d'une agriculture à taille humaine se mobilisent depuis plus d'un an.",,,,,,,,,,,,Collectifs,Associations,,,,,,,,,,,,,,,,,,,,,,,,
Le ménage des champs,,http://leseditionsduboutdelaville.com/index.php?id_product=1&controller=product,logos/d454d6369eb7871572f72f673b5b7d59928f24f6a94127e35c7acfc2edc4123f.jpg,,,,,,,,,"Xavier Noulhianne nous raconte sa vie d'éleveur de chèvres et de brebis à la manière d'un dissident russe pris dans les mailles du système bureaucratique. 
Pour comprendre la mise en ordre des champs, ce livre navigue entre récit de vie, théorie, histoire, et dessine les contours d'une critique sociale dont la portée dépasse celle du monde agricole
",,,,,,,,,,,,Médias,Livres,,,,,,,,,,,,,,,,,,,,,,,,
Les Lentillères,,https://lentilleres.potager.org/,logos/0d95861ed6d4b0ba3a370af5e7cd793e6d0571fae00b5407b7980da419bfd09a.png,,,,,,,,,"Résistance à l'urbanisation, occupation autogérée, lieu de cultures et de solidarités, réserve de biodiversité… à Dijon depuis 2010",,,,,,,,,,,,Lieux,Communs,,,,,,,,,,,,,,,,,,,,,,,,
Les Soulèvements de la Terre,,https://lessoulevementsdelaterre.org/,logos/1753c0ee98eb4c01c3597caf7aeace67ad6a8ddea8e935f6ff8b225c1044b29a.png,,,,,,,,,"Les Soulèvements de la terre, c'est la tentative de construire un réseau de luttes locales tout en impulsant un mouvement de résistance et de redistribution foncière à plus large échelle. C'est la volonté d'établir un véritable rapport de force en vue d'arracher la terre au ravage industriel et marchand.",,,,,,,,,,,,Collectifs,Groupes politiques,,,,,,,,,,,,,,,,,,,,,,,,
Les Vaîtes,,https://www.facebook.com/jardinsdesvaites/,logos/97b4744e8da0bb6ba6a68eda500924245e5379ea24265e491894328a03272c5f.png,,,,,,,,,"Défendre et promouvoir les pratiques de jardinage et de maraîchage, individuelles et collectives, dans la zone du quartier des Vaîtes à Besançon.",,,,,,,,,,,,Lieux,Communs,,,,,,,,,,,,,,,,,,,,,,,,
Pommes de terre contre gratte-ciel,,https://entremonde.net/pommes-de-terre-contre-gratte-ciel,logos/170c3e24fd97f5fbeaa9452138822a2d7d13d0d584f0f2de9798994fc34cdeec.jpg,,,,,,,,,"Plus la crise écologique s’aggrave, plus l’écologie devient une idéo­lo­gie domi­nante. 
Elle nous promet un monde « décar­boné » grâce au tout-électrique, au tout-numé­ri­que et au « nucléaire vert ». 
Mais capi­ta­lisme et écologie sont incom­pa­ti­bles. Le capi­ta­lisme repose sur l’exploi­ta­tion de pro­lé­tai­res dans des entre­pri­ses for­cées par la concur­rence d’accu­mu­ler plus de valeur que leurs riva­les. 
La quête inces­sante de pro­duc­ti­vité entraîne sur­pro­duc­tion, sur­consom­ma­tion… aux effets des­truc­teurs pour les pro­lé­tai­res, pour l’huma­nité et pour la pla­nète. 
Il n’y aura pas de « révo­lu­tion écologique » sans révo­lu­tion sociale qui rompt avec les rap­ports de classe.
",,,,,,,,,,,,Médias,Livres,,,,,,,,,,,,,,,,,,,,,,,,
Premières secousses,,https://lafabrique.fr/premieres-secousses/,logos/aa0d3a0199f4b856cf498dadfc46f609dcf9664eda8ded176272a17a8914687e.jpg,,,,,,,,,"Au fil des saisons, nous avons formé des cortèges bigarrés, muni·es de bêches, de mégaphones et de meuleuses, vêtu·es de bleus de travail et de combinaisons blanches, escorté·es par des oiseaux géants… 
Nous avons traversé les bocages et les plaines, arpenté les vallées industrielles et le bitume des usines - et même frôlé les cimes alpines. 
Nous nous soulevons pour défendre les terres et leurs usages communs. 
Contre les méga-bassines, les carrières de sable, les coulées de béton et les spéculateurs fonciers, nous voulons propager les gestes de blocage, d'occupation et de désarmement, pour démanteler les filières toxiques. 
Nous nous soulevons parce que nous n'attendons rien de ceux qui gouvernent le désastre. Nous nous soulevons parce que nous croyons en notre capacité d'agir.
Depuis des siècles, du nord au sud, des mouvements populaires se battent pour défendre une idée simple : la terre et l'eau appartiennent à tou·tes, ou peut-être à personne. Les Soulèvements de la terre n'inventent rien ou si peu. 
Ils renouent avec une conviction dont jamais nous n'aurions dû nous départir.
",,,,,,,,,,,,Médias,Livres,,,,,,,,,,,,,,,,,,,,,,,,
Réseau de Ravitaillement des Luttes du Pays Rennais,,https://www.instagram.com/reseau_de_ravitaillement/,logos/8ca1f8110aa7340d139e80e84a55e79d752c8a693360ccc2940464f828db3105.jpeg,,,,,,,,,"On fait des cantines, du maraichage et des distributions alimentaires en soutien des luttes.",,,,,,,,,,,,Collectifs,Groupes politiques,,,,,,,,,,,,,,,,,,,,,,,,
